studyTitle,studyYear,studyJournal,studyVolume,studyPages,eventDate,eventYear,eventLocation.country,eventLocation.degreesLat,eventLocation.minutesLat,eventLocation.secondsLat,eventLocation.degreesLon,eventLocation.minutesLon,eventLocation.secondsLon,lat,long,vertebrateClass,speciesName,Egg,Larva,Juvenile,Adult,speciesAffectedType,populationType,screeningReason,numInvolved,totalAnimalsTested,totalAnimalsConfirmedInfected,totalAnimalsConfirmedDiseased,Isolation,EM,PCR,qPCR,Sequencing,genBankAccessionNumbers,ranaSpecies,Year,speciesGenus,Genus,Order,Family
Amphibian mortality events and ranavirus outbreaks in the Greater Yellowstone Ecosystem,2016,Herpetological Review,47,50-54,2003-06-01,2003,USA,44,36,0,-111,30,0,44.6,-111.5,amphibian,Ambystoma mavortium,0,0,0,1,native,wild,mortality,2,NA,NA,NA,1,0,0,0,0,NA,NA,2003,Ambystoma,Ambystoma,Urodela,Ambystomatidae
Amphibian mortality events and ranavirus outbreaks in the Greater Yellowstone Ecosystem,2016,Herpetological Review,47,50-54,2004-06-24,2004,USA,44,36,0,-111,30,0,44.6,-111.5,amphibian,Anaxyrus boreas,0,0,0,1,native,wild,mortality,6,NA,NA,NA,1,0,0,0,0,NA,NA,2004,Anaxyrus,Anaxyrus,Anura,Bufonidae
Amphibian mortality events and ranavirus outbreaks in the Greater Yellowstone Ecosystem,2016,Herpetological Review,47,50-54,2004-08-01,2004,USA,43,49,59.9988,-111,17,57.0012,43.833333,-111.29917,amphibian,Rana luteiventris,0,0,0,1,native,wild,mortality,10,NA,NA,NA,1,0,0,0,0,NA,NA,2004,Rana,Rana,Anura,Ranidae
Amphibian mortality events and ranavirus outbreaks in the Greater Yellowstone Ecosystem,2016,Herpetological Review,47,50-54,2007-07-19,2007,USA,44,36,0,-111,30,0,44.6,-111.5,amphibian,Rana luteiventris,0,1,0,0,native,wild,mortality,2,NA,NA,NA,1,0,0,0,0,NA,NA,2007,Rana,Rana,Anura,Ranidae
Amphibian mortality events and ranavirus outbreaks in the Greater Yellowstone Ecosystem,2016,Herpetological Review,47,50-54,2007-09-01,2007,USA,44,36,0,-111,30,0,44.6,-111.5,amphibian,Rana luteiventris,0,0,1,1,native,wild,mortality,21,NA,NA,NA,1,0,0,0,0,NA,NA,2007,Rana,Rana,Anura,Ranidae
Amphibian mortality events and ranavirus outbreaks in the Greater Yellowstone Ecosystem,2016,Herpetological Review,47,50-54,2008-07-01,2008,USA,44,36,0,-111,30,0,44.6,-111.5,amphibian,Rana luteiventris,0,0,1,1,native,wild,mortality,3,NA,NA,NA,1,0,0,0,0,NA,NA,2008,Rana,Rana,Anura,Ranidae
Amphibian mortality events and ranavirus outbreaks in the Greater Yellowstone Ecosystem,2016,Herpetological Review,47,50-54,2008-08-01,2008,USA,44,36,0,-111,30,0,44.6,-111.5,amphibian,Rana luteiventris,0,1,0,0,native,wild,mortality,10,NA,NA,NA,1,0,0,0,0,NA,NA,2008,Rana,Rana,Anura,Ranidae
Amphibian mortality events and ranavirus outbreaks in the Greater Yellowstone Ecosystem,2016,Herpetological Review,47,50-54,2008-08-01,2008,USA,44,36,0,-111,30,0,44.6,-111.5,amphibian,Rana luteiventris,0,0,1,0,native,wild,mortality,5,NA,NA,NA,1,0,0,0,0,NA,NA,2008,Rana,Rana,Anura,Ranidae
Amphibian mortality events and ranavirus outbreaks in the Greater Yellowstone Ecosystem,2016,Herpetological Review,47,50-54,2008-09-01,2008,USA,44,36,0,-111,30,0,44.6,-111.5,amphibian,Rana luteiventris,0,0,1,1,native,wild,mortality,8,NA,NA,NA,1,0,0,0,0,NA,NA,2008,Rana,Rana,Anura,Ranidae
Amphibian mortality events and ranavirus outbreaks in the Greater Yellowstone Ecosystem,2016,Herpetological Review,47,50-54,2009-08-18,2009,USA,44,36,0,-111,30,0,44.6,-111.5,amphibian,Anaxyrus boreas,0,1,0,0,native,wild,mortality,100,NA,NA,NA,1,0,0,0,0,NA,NA,2009,Anaxyrus,Anaxyrus,Anura,Bufonidae
Amphibian pathogens at northern latitudes: presence of chytrid fungus and ranavirus in northeastern Canada,2015,Diseases of Aquatic Organisms,113,149-155,2009-07-01,2009,Canada,54,44,8.88000000000466,-85,15,28.7999999999884,54.7358,-85.258,amphibian,Lithobates sylvaticus,0,0,1,1,native,wild,routine,11_50,12,1,NA,0,0,1,0,0,NA,FV3,2009,Lithobates,Rana,Anura,Ranidae
Amphibian pathogens at northern latitudes: presence of chytrid fungus and ranavirus in northeastern Canada,2015,Diseases of Aquatic Organisms,113,149-155,2010-06-01,2010,Canada,52,50,8.88000000000466,-86,29,41.2799999999697,52.8358,-86.4948,amphibian,Lithobates sylvaticus,0,0,1,1,native,wild,routine,2_10,7,0,NA,0,0,1,0,0,NA,FV3,2010,Lithobates,Rana,Anura,Ranidae
Amphibian pathogens at northern latitudes: presence of chytrid fungus and ranavirus in northeastern Canada,2015,Diseases of Aquatic Organisms,113,149-155,2010-08-01,2010,Canada,52,51,46.0799999999872,-83,55,52.320000000007,52.8628,-83.9312,amphibian,Lithobates sylvaticus,0,0,1,1,native,wild,routine,2_10,3,0,NA,0,0,1,0,0,NA,FV3,2010,Lithobates,Rana,Anura,Ranidae
Amphibian pathogens at northern latitudes: presence of chytrid fungus and ranavirus in northeastern Canada,2015,Diseases of Aquatic Organisms,113,149-155,2010-06-01,2010,Canada,52,55,48.3600000000151,-82,26,49.5599999999977,52.9301,-82.4471,amphibian,Lithobates sylvaticus,0,0,1,1,native,wild,routine,11_50,29,0,NA,0,0,1,0,0,NA,FV3,2010,Lithobates,Rana,Anura,Ranidae
Amphibian pathogens at northern latitudes: presence of chytrid fungus and ranavirus in northeastern Canada,2015,Diseases of Aquatic Organisms,113,149-155,2010-06-01,2010,Canada,52,12,57.6000000000058,-81,41,7.44000000000233,52.216,-81.6854,amphibian,Lithobates sylvaticus,0,0,1,1,native,wild,routine,11_50,30,0,NA,0,0,1,0,0,NA,FV3,2010,Lithobates,Rana,Anura,Ranidae
Amphibian pathogens at northern latitudes: presence of chytrid fungus and ranavirus in northeastern Canada,2015,Diseases of Aquatic Organisms,113,149-155,2009-07-01,2009,Canada,50,19,36.4799999999814,-84,26,52.0800000000163,50.3268,-84.4478,amphibian,Lithobates sylvaticus,0,0,0,1,native,wild,routine,11_50,19,0,NA,0,0,1,0,0,NA,FV3,2009,Lithobates,Rana,Anura,Ranidae
Amphibian pathogens at northern latitudes: presence of chytrid fungus and ranavirus in northeastern Canada,2015,Diseases of Aquatic Organisms,113,149-155,2010-06-01,2010,Canada,51,16,9.11999999999534,-80,38,56.7600000000093,51.2692,-80.6491,amphibian,Lithobates sylvaticus,0,0,1,1,native,wild,routine,11_50,44,3,NA,0,0,1,0,0,NA,FV3,2010,Lithobates,Rana,Anura,Ranidae
Amphibian pathogens at northern latitudes: presence of chytrid fungus and ranavirus in northeastern Canada,2015,Diseases of Aquatic Organisms,113,149-155,2009-07-01,2009,Canada,51,12,43.5599999999977,-79,39,30.960000000021,51.2121,-79.6586,amphibian,Lithobates sylvaticus,0,0,0,1,native,wild,routine,2_10,6,0,NA,0,0,1,0,0,NA,FV3,2009,Lithobates,Rana,Anura,Ranidae
Amphibian pathogens at northern latitudes: presence of chytrid fungus and ranavirus in northeastern Canada,2015,Diseases of Aquatic Organisms,113,149-155,2009-06-01,2009,Canada,53,1,28.2000000000116,-81,59,35.8800000000047,53.0245,-81.9933,amphibian,Lithobates sylvaticus,0,0,0,1,native,wild,routine,11_50,17,0,NA,0,0,1,0,0,NA,FV3,2009,Lithobates,Rana,Anura,Ranidae
Amphibian pathogens at northern latitudes: presence of chytrid fungus and ranavirus in northeastern Canada,2015,Diseases of Aquatic Organisms,113,149-155,2009-06-01,2009,Canada,53,6,9.36000000001513,-81,1,45.8399999999674,53.1026,-81.0294,amphibian,Lithobates sylvaticus,0,0,1,1,native,wild,routine,101_500,172,14,NA,0,0,1,0,0,NA,FV3,2009,Lithobates,Rana,Anura,Ranidae
Amphibian pathogens at northern latitudes: presence of chytrid fungus and ranavirus in northeastern Canada,2015,Diseases of Aquatic Organisms,113,149-155,2009-06-01,2009,Canada,52,56,36.960000000021,-80,48,54.7200000000303,52.943600000000004,-80.8152,amphibian,Lithobates sylvaticus,0,0,0,1,native,wild,routine,11_50,13,0,NA,0,0,1,0,0,NA,FV3,2009,Lithobates,Rana,Anura,Ranidae
Amphibian pathogens at northern latitudes: presence of chytrid fungus and ranavirus in northeastern Canada,2015,Diseases of Aquatic Organisms,113,149-155,2009-07-01,2009,Canada,49,53,13.5599999999977,-76,59,31.9199999999837,49.8871,-76.9922,amphibian,Lithobates sylvaticus,0,0,1,1,native,wild,routine,2_10,5,2,NA,0,0,1,0,0,NA,FV3,2009,Lithobates,Rana,Anura,Ranidae
Amphibian pathogens at northern latitudes: presence of chytrid fungus and ranavirus in northeastern Canada,2015,Diseases of Aquatic Organisms,113,149-155,2009-07-01,2009,Canada,51,28,5.16000000000349,-78,46,45.4800000000396,51.4681,-78.7793,amphibian,Lithobates sylvaticus,0,0,1,1,native,wild,routine,11_50,14,1,NA,0,0,1,0,0,NA,FV3,2009,Lithobates,Rana,Anura,Ranidae
Amphibian pathogens at northern latitudes: presence of chytrid fungus and ranavirus in northeastern Canada,2015,Diseases of Aquatic Organisms,113,149-155,2009-08-01,2009,Canada,52,12,49.320000000007,-78,30,23.4000000000233,52.2137,-78.5065,amphibian,Lithobates sylvaticus,0,0,1,1,native,wild,routine,11_50,32,4,NA,0,0,1,0,0,NA,FV3,2009,Lithobates,Rana,Anura,Ranidae
Amphibian pathogens at northern latitudes: presence of chytrid fungus and ranavirus in northeastern Canada,2015,Diseases of Aquatic Organisms,113,149-155,2009-08-01,2009,Canada,52,58,54.4800000000105,-78,40,17.0400000000373,52.9818,-78.6714,amphibian,Lithobates sylvaticus,0,0,1,1,native,wild,routine,11_50,35,2,NA,0,0,1,0,0,NA,FV3,2009,Lithobates,Rana,Anura,Ranidae
Amphibian pathogens at northern latitudes: presence of chytrid fungus and ranavirus in northeastern Canada,2015,Diseases of Aquatic Organisms,113,149-155,2009-08-01,2009,Canada,53,42,50.0400000000081,-78,49,17.039999999979,53.7139,-78.8214,amphibian,Lithobates sylvaticus,0,1,1,0,native,wild,routine,11_50,24,2,NA,0,0,1,0,0,NA,FV3,2009,Lithobates,Rana,Anura,Ranidae
Amphibian pathogens at northern latitudes: presence of chytrid fungus and ranavirus in northeastern Canada,2015,Diseases of Aquatic Organisms,113,149-155,2009-08-01,2009,Canada,53,41,2.39999999999418,-77,43,50.5200000000186,53.684,-77.7307,amphibian,Lithobates sylvaticus,0,0,1,1,native,wild,routine,11_50,20,4,NA,0,0,1,0,0,NA,FV3,2009,Lithobates,Rana,Anura,Ranidae
Amphibian pathogens in Southeast Asian frog trade,2012,Ecohealth,9,386-398,2010-06-01,2010,Cambodia,11,16,31.2924,105,3,55.3248,11.275359,105.065368,amphibian,Hoplobatrachus rugulosus,0,0,0,1,native,production,routine,51_100,70,0,NA,0,0,0,1,0,NA,NA,2010,Hoplobatrachus,Hoplobatrachus,Anura,Dicroglossidae
Amphibian pathogens in Southeast Asian frog trade,2012,Ecohealth,9,386-398,2010-06-01,2010,Vietnam,21,16,44.8356,105,53,38.7276,21.279121,105.894091,amphibian,Hoplobatrachus rugulosus,0,0,0,1,native,production,routine,1,1,0,NA,0,0,0,1,0,NA,NA,2010,Hoplobatrachus,Hoplobatrachus,Anura,Dicroglossidae
Amphibian pathogens in Southeast Asian frog trade,2012,Ecohealth,9,386-398,2010-06-01,2010,Vietnam,10,47,44.4444,106,11,39.8544,10.795679,106.194404,amphibian,Hoplobatrachus rugulosus,0,0,0,1,native,production,routine,1,1,0,NA,0,0,0,1,0,NA,NA,2010,Hoplobatrachus,Hoplobatrachus,Anura,Dicroglossidae
Amphibian pathogens in Southeast Asian frog trade,2012,Ecohealth,9,386-398,2010-06-01,2010,Vietnam,10,48,57.0456,106,27,19.1412,10.815846,106.455317,amphibian,Hoplobatrachus rugulosus,0,0,0,1,native,production,routine,2_10,2,0,NA,0,0,0,1,0,NA,NA,2010,Hoplobatrachus,Hoplobatrachus,Anura,Dicroglossidae
"An ulcerative disease of the cultured tiger frog, Rana tigrina, in Thailand: Virological examination",1998,Aquatic Animal Health Research Institute Newsletter,7,1-2,1998-01-01,1998,Thailand,13,46,40.0730519999997,100,33,32.0698800000246,13.77779807,100.5589083,amphibian,Rana tigrina,0,0,0,1,native,production,mortality,11_50,2,2,NA,1,0,0,0,0,NA,Other,1998,Rana,Rana,Anura,Ranidae
"An ulcerative disease of the cultured tiger frog, Rana tigrina, in Thailand: Virological examination",1998,Aquatic Animal Health Research Institute Newsletter,7,1-2,1998-02-01,1998,Thailand,13,46,40.0730519999997,100,33,32.0698800000246,13.77779807,100.5589083,amphibian,Rana tigrina,0,0,0,1,native,production,mortality,11_50,9,1,NA,1,0,0,0,0,NA,Other,1998,Rana,Rana,Anura,Ranidae
"An ulcerative disease of the cultured tiger frog, Rana tigrina, in Thailand: Virological examination",1998,Aquatic Animal Health Research Institute Newsletter,7,1-2,1998-07-01,1998,Thailand,13,55,18.8331959999996,100,21,53.6651999999885,13.92189811,100.364907,amphibian,Rana tigrina,0,0,0,1,native,production,mortality,11_50,14,11,NA,1,0,0,0,0,NA,Other,1998,Rana,Rana,Anura,Ranidae
"An ulcerative disease of the cultured tiger frog, Rana tigrina, in Thailand: Virological examination",1998,Aquatic Animal Health Research Institute Newsletter,7,1-2,1998-09-01,1998,Thailand,13,55,18.8331959999996,100,21,53.6651999999885,13.92189811,100.364907,amphibian,Rana tigrina,0,0,0,1,native,production,mortality,11_50,12,7,NA,1,0,0,0,0,NA,Other,1998,Rana,Rana,Anura,Ranidae
"An ulcerative disease of the cultured tiger frog, Rana tigrina, in Thailand: Virological examination",1998,Aquatic Animal Health Research Institute Newsletter,7,1-2,1999-02-01,1999,Thailand,13,55,18.8331959999996,100,21,53.6651999999885,13.92189811,100.364907,amphibian,Rana tigrina,0,0,0,1,native,production,mortality,11_50,6,3,NA,1,0,0,0,0,NA,Other,1999,Rana,Rana,Anura,Ranidae
"An ulcerative disease of the cultured tiger frog, Rana tigrina, in Thailand: Virological examination",1998,Aquatic Animal Health Research Institute Newsletter,7,1-2,1999-03-01,1999,Thailand,13,55,18.8331959999996,100,21,53.6651999999885,13.92189811,100.364907,amphibian,Rana tigrina,0,1,0,0,native,production,mortality,11_50,16,8,NA,1,0,0,0,0,NA,Other,1999,Rana,Rana,Anura,Ranidae
"An ulcerative disease of the cultured tiger frog, Rana tigrina, in Thailand: Virological examination",1998,Aquatic Animal Health Research Institute Newsletter,7,1-2,1998-08-01,1998,Thailand,14,20,3.72195600000123,100,30,20.104560000007,14.33436721,100.5055846,amphibian,Rana tigrina,0,0,0,1,native,production,mortality,11_50,3,2,NA,1,0,0,0,0,NA,Other,1998,Rana,Rana,Anura,Ranidae
"An ulcerative disease of the cultured tiger frog, Rana tigrina, in Thailand: Virological examination",1998,Aquatic Animal Health Research Institute Newsletter,7,1-2,1998-09-01,1998,Thailand,14,3,16.5840840000019,100,39,14.8950000000186,14.05460669,100.6541375,amphibian,Rana tigrina,0,0,0,1,native,production,mortality,11_50,3,0,NA,1,0,0,0,0,NA,Other,1998,Rana,Rana,Anura,Ranidae
"An ulcerative disease of the cultured tiger frog, Rana tigrina, in Thailand: Virological examination",1998,Aquatic Animal Health Research Institute Newsletter,7,1-2,1998-10-01,1998,Thailand,14,14,7.93107600000076,101,11,4.65324000001419,14.23553641,101.1846259,amphibian,Rana tigrina,0,0,0,1,native,production,mortality,11_50,5,5,NA,1,0,0,0,0,NA,Other,1998,Rana,Rana,Anura,Ranidae
"An ulcerative disease of the cultured tiger frog, Rana tigrina, in Thailand: Virological examination",1998,Aquatic Animal Health Research Institute Newsletter,7,1-2,1998-11-01,1998,Thailand,14,37,21.3805919999941,100,20,35.0934000000125,14.62260572,100.3430815,amphibian,Rana tigrina,0,0,0,1,native,production,mortality,11_50,10,8,NA,1,0,0,0,0,NA,Other,1998,Rana,Rana,Anura,Ranidae
"An ulcerative disease of the cultured tiger frog, Rana tigrina, in Thailand: Virological examination",1998,Aquatic Animal Health Research Institute Newsletter,7,1-2,1999-04-01,1999,Thailand,14,36,50.421924000002,99,58,47.5969440000481,14.61400609,99.97988804,amphibian,Rana tigrina,0,0,0,1,native,production,mortality,11_50,3,3,NA,1,0,0,0,0,NA,Other,1999,Rana,Rana,Anura,Ranidae
"An ulcerative disease of the cultured tiger frog, Rana tigrina, in Thailand: Virological examination",1998,Aquatic Animal Health Research Institute Newsletter,7,1-2,1999-06-01,1999,Thailand,14,36,50.421924000002,99,58,47.5969440000481,14.61400609,99.97988804,amphibian,Rana tigrina,0,0,0,1,native,production,mortality,11_50,11,11,NA,1,0,0,0,0,NA,Other,1999,Rana,Rana,Anura,Ranidae
"An ulcerative disease of the cultured tiger frog, Rana tigrina, in Thailand: Virological examination",1998,Aquatic Animal Health Research Institute Newsletter,7,1-2,1999-06-01,1999,Thailand,16,15,14.8761000000086,100,21,30.5143200000166,16.25413225,100.3584762,amphibian,Rana tigrina,0,0,0,1,native,production,mortality,11_50,3,3,NA,1,0,0,0,0,NA,Other,1999,Rana,Rana,Anura,Ranidae
"An ulcerative disease of the cultured tiger frog, Rana tigrina, in Thailand: Virological examination",1998,Aquatic Animal Health Research Institute Newsletter,7,1-2,1999-07-01,1999,Thailand,13,30,52.1686799999952,99,36,55.5078600000124,13.5144913,99.61541885,amphibian,Rana tigrina,0,0,0,1,native,production,mortality,11_50,5,5,NA,1,0,0,0,0,NA,Other,1999,Rana,Rana,Anura,Ranidae
"Isolation and Characterisation of Ranavirus from Diseased Frog, Rana spp., Imported from Cambodia.",2004,"Seminar on Fisheries year 2004, Department of Fisheries, Bangkok",NA,http://www.fisheries.go.th/cf-chan/Paper/seminar-dof-2004-fullpaper/a056.pdf,2004-01-14,2004,Thailand,13,49,42.0474719999984,102,19,14.6027999999933,13.82834652,102.320723,amphibian,Rana sp.,0,0,0,1,introduced,production,mortality,NA,NA,1,NA,1,1,1,0,1,NA,NA,2004,Rana,Rana,Anura,Ranidae
"Characterisation of Iridovirus Isolated from Diseased Marbled Sleepy Goby, Oxyeleotris Marmoratus",2005,"Diseases in Asian Aquaculture V. Fish Health Section, Asian Fisheries Society, Manila",NA,197-206,2000-03-01,2000,Thailand,13,40,40.8477242,100,14,1.55273437,13.6780133,100.233765,fish,Oxyeleotris Marmoratus,0,0,0,1,native,production,mortality,NA,NA,NA,NA,1,1,1,0,1,NA,Other,2000,Oxyeleotris,Oxyeleotris,Gobiiformes,Butidae
Characterization of a ranavirus isolated from cultured largemouth bass (Micropterus salmoides) in China,2011,Aquaculture,312,198-204,2008-06-18,2008,China,22,47,53.3112,113,16,36.3216,22.798142,113.276756,fish,Micropterus salmoides,0,0,0,1,introduced,wild,mortality,500_,20,20,20,0,1,0,0,0,NA,NA,2008,Micropterus,Micropterus,Perciformes,Centrarchidae
"Co-infection by alveolate parasites and frog virus 3-like ranavirus during an amphibian larval mortality event in Florida, USA",2013,Diseases of Aquatic Organisms,105,89-99,2011-04-07,2011,USA,29,49,31.44,-82,2,47.4,29.8254,-82.0465,amphibian,Lithobates catesbeianus,0,1,0,0,native,wild,mortality,NA,6,NA,NA,0,0,0,1,0,NA,NA,2011,Lithobates,Rana,Anura,Ranidae
"Co-infection by alveolate parasites and frog virus 3-like ranavirus during an amphibian larval mortality event in Florida, USA",2013,Diseases of Aquatic Organisms,105,89-99,2011-04-08,2011,USA,29,49,31.44,-82,2,47.4,29.8254,-82.0465,amphibian,Lithobates catesbeianus,0,1,0,0,native,wild,mortality,NA,7,1,NA,0,0,0,1,0,NA,NA,2011,Lithobates,Rana,Anura,Ranidae
"Co-infection by alveolate parasites and frog virus 3-like ranavirus during an amphibian larval mortality event in Florida, USA",2013,Diseases of Aquatic Organisms,105,89-99,2011-07-28,2011,USA,29,49,31.44,-82,2,47.4,29.8254,-82.0465,amphibian,Lithobates catesbeianus,0,1,0,0,native,wild,mortality,NA,8,0,NA,0,0,0,1,0,NA,NA,2011,Lithobates,Rana,Anura,Ranidae
"Co-infection by alveolate parasites and frog virus 3-like ranavirus during an amphibian larval mortality event in Florida, USA",2013,Diseases of Aquatic Organisms,105,89-99,2011-04-07,2011,USA,29,49,31.44,-82,2,47.4,29.8254,-82.0465,amphibian,Lithobates sphenocephalus,0,1,0,0,native,wild,mortality,NA,4,NA,NA,0,0,0,1,0,NA,NA,2011,Lithobates,Rana,Anura,Ranidae
"Co-infection by alveolate parasites and frog virus 3-like ranavirus during an amphibian larval mortality event in Florida, USA",2013,Diseases of Aquatic Organisms,105,89-99,2011-04-08,2011,USA,29,49,31.44,-82,2,47.4,29.8254,-82.0465,amphibian,Lithobates sphenocephalus,0,1,0,0,native,wild,mortality,NA,6,1,NA,0,0,0,1,0,NA,NA,2011,Lithobates,Rana,Anura,Ranidae
"Co-infection by alveolate parasites and frog virus 3-like ranavirus during an amphibian larval mortality event in Florida, USA",2013,Diseases of Aquatic Organisms,105,89-99,2011-07-28,2011,USA,29,49,31.44,-82,2,47.4,29.8254,-82.0465,amphibian,Lithobates sphenocephalus,0,1,0,0,native,wild,mortality,NA,2,0,NA,0,0,0,1,0,NA,NA,2011,Lithobates,Rana,Anura,Ranidae
"Co-infection by alveolate parasites and frog virus 3-like ranavirus during an amphibian larval mortality event in Florida, USA",2013,Diseases of Aquatic Organisms,105,89-99,2011-04-08,2011,USA,29,49,31.44,-82,2,47.4,29.8254,-82.0465,amphibian,Lithobates capito,0,1,0,0,native,wild,mortality,NA,1,0,NA,0,0,0,1,0,NA,NA,2011,Lithobates,Rana,Anura,Ranidae
"Co-infection by alveolate parasites and frog virus 3-like ranavirus during an amphibian larval mortality event in Florida, USA",2013,Diseases of Aquatic Organisms,105,89-99,2011-07-28,2011,USA,29,49,31.44,-82,2,47.4,29.8254,-82.0465,amphibian,Lithobates capito,0,1,0,0,native,wild,mortality,NA,1,0,NA,0,0,0,1,0,NA,NA,2011,Lithobates,Rana,Anura,Ranidae
"Co-infection by alveolate parasites and frog virus 3-like ranavirus during an amphibian larval mortality event in Florida, USA",2013,Diseases of Aquatic Organisms,105,89-99,2011-07-28,2011,USA,29,49,31.44,-82,2,47.4,29.8254,-82.0465,amphibian,Hyla cinerea,0,1,0,0,native,wild,mortality,NA,3,0,NA,0,0,0,1,0,NA,NA,2011,Hyla,Hyla,Anura,Hylidae
Detection of Ranavirus in Eastern Fence Lizards and Eastern Box Turtles in Central Virginia,2018,Northeastern Naturalist,25,391-398,2013-06-01,2013,USA,37,14,31.3476,-79,32,22.9956,37.242041,-79.539721,reptile,Sceloporus undulatus,0,0,0,1,native,wild,routine,NA,36,13,NA,0,0,0,1,0,NA,NA,2013,Sceloporus,Sceloporus,Squamata,Phrynosomatidae
Detection of Ranavirus in Eastern Fence Lizards and Eastern Box Turtles in Central Virginia,2018,Northeastern Naturalist,25,391-398,2014-06-01,2014,USA,37,14,31.3476,-79,32,22.9956,37.242041,-79.539721,reptile,Terrapene carolina,0,0,0,1,native,wild,routine,NA,6,30,NA,0,0,0,1,0,NA,NA,2014,Terrapene,Terrapene,Testudines,Emydidae
Detection of ranavirus in Northeast Ohio's wetlands,2014,Herpetological Review,45,601-602,2010-06-01,2010,USA,41,18,10.3680000000168,-81,46,27.7320000000182,41.30288,-81.77437,amphibian,Lithobates sylvaticus,0,1,0,0,native,wild,routine,NA,3,3,NA,0,0,0,1,0,NA,NA,2010,Lithobates,Rana,Anura,Ranidae
